original_name,clean_name,category,weight,unit,pack_size,packaging_type,old_edge_case,new_edge_case,description
SUN SUNLIGHT NLS TD Thảo Mộc Hương Lily & Bạch Trà 3.6kg (Can),SUN SUNLIGHT NLS TD Thảo Mộc Hương Lily & Bạch Trà,Vệ sinh nhà cửa,3.6,kg,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
SUNLIGHT NLS BIOSHIELD Hương Chanh Yuzu & Sả 3.6kg (Cái),SUNLIGHT NLS BIOSHIELD Hương Chanh Yuzu & Sả,Vệ sinh nhà cửa,3.6,kg,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
SUNLIGHT NLS Tinh Dầu Thảo Mộc H Hoa Lavender 1kg (Chai),SUNLIGHT NLS Tinh Dầu Thảo Mộc H Hoa Lavender,Vệ sinh nhà cửa,1.0,kg,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
SUNLIGHT Nước Lau Đa Năng Chanh & Sả 500ml (Cái),SUNLIGHT Nước Lau Đa Năng Chanh & Sả,Vệ sinh nhà cửa,500.0,ml,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
VIM tẩy rửa trắng sáng hương chanh sả 870ml (Chai),VIM tẩy rửa trắng sáng hương chanh sả,Vệ sinh nhà cửa,870.0,ml,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
VIM vệ sinh xanh biển 500ml (Chai),VIM vệ sinh xanh biển,Vệ sinh nhà cửa,500.0,ml,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
VIM vệ sinh xanh biển 880ml (Chai),VIM vệ sinh xanh biển,Vệ sinh nhà cửa,880.0,ml,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
LUX Sữa Tắm Hương Hoa Thiên Điểu 570g (Chai),LUX Sữa Tắm Hương Hoa Thiên Điểu,Chăm sóc cơ thể,570.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
LUX xà bông cục Hương Phong Lan Quyến Rũ 105g (Bánh),LUX xà bông cục Hương Phong Lan Quyến Rũ,Chăm sóc cơ thể,105.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
LBF xà bông cục bảo vệ vượt trội 125g (Bánh),LBF xà bông cục bảo vệ vượt trội,Chăm sóc cơ thể,125.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
LFB LIFEBUOY Xà Bông Cục Matcha & Khổ Qua 125g (Cái),LFB LIFEBUOY Xà Bông Cục Matcha & Khổ Qua,Chăm sóc cơ thể,125.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
LFB LIFEBUOY sữa tắm bảo vệ vượt trội 350g (Cái),LFB LIFEBUOY sữa tắm bảo vệ vượt trội,Chăm sóc cơ thể,350.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
LFB Sữa Tắm Trà Xanh Khổ Qua 800G (Chai),LFB Sữa Tắm Trà Xanh Khổ Qua,Chăm sóc cơ thể,800.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
LFB nước rửa tay bạc bảo vệ 180g (Cái),LFB nước rửa tay bạc bảo vệ,Chăm sóc sức khỏe,180.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
LFB sữa tắm vượt trội 10 1.1kg (Cái),LFB sữa tắm vượt trội 10,Chăm sóc cơ thể,1.1,kg,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
LFB xà bông cục bảo vệ vượt trội 90g (Bánh),LFB xà bông cục bảo vệ vượt trội,Chăm sóc cơ thể,90.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
LIFEBOUY Nước Rửa Tay Vitamin Bảo Vệ Vượt Trội 4kg (Chai),LIFEBOUY Nước Rửa Tay Vitamin Bảo Vệ Vượt Trội,Chăm sóc sức khỏe,4.0,kg,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
DOVE Dầu Gội BIOTIN Ngăn Gãy Rụng Tóc 6g (Dây),DOVE Dầu Gội BIOTIN Ngăn Gãy Rụng Tóc,Chăm sóc tóc và da đầu,6.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
DOVE Dầu Gội CERAMIDE Phục Hồi Hư Tổn 6g (Dây),DOVE Dầu Gội CERAMIDE Phục Hồi Hư Tổn,Chăm sóc tóc và da đầu,6.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
DOVE Kem Xả Serum BIOTIN Ngăn Gãy Rụng Tóc 6g (Dây),DOVE Kem Xả Serum BIOTIN Ngăn Gãy Rụng Tóc,Chăm sóc tóc và da đầu,6.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
CLEAR Dầu Gội 9 Thảo Dược Cổ Truyền 6g (Gói),CLEAR Dầu Gội 9 Thảo Dược Cổ Truyền,Vệ sinh nhà cửa,6.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
CLEAR Dầu Gội Mát Lạnh Bạc Hà 6g (Gói),CLEAR Dầu Gội Mát Lạnh Bạc Hà,Chăm sóc tóc và da đầu,6.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
CLEAR Dầu Gội Sạch Gàu Gừng Và Hoa Cúc 6g (Dây),CLEAR Dầu Gội Sạch Gàu Gừng Và Hoa Cúc,Chăm sóc tóc và da đầu,6.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
CLEAR MEN Dầu Gội Mát Lạnh Bạc Hà 5g (Gói),CLEAR MEN Dầu Gội Mát Lạnh Bạc Hà,Chăm sóc tóc và da đầu,5.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
CLEAR MEN Dầu Gội Mát Lạnh Bạc Hà 630g (Chai),CLEAR MEN Dầu Gội Mát Lạnh Bạc Hà,Chăm sóc tóc và da đầu,630.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
CLEAR dầu gội mát lạnh bạc hà 630g (Chai),CLEAR dầu gội mát lạnh bạc hà,Chăm sóc tóc và da đầu,630.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
SSK SUNSILK Dầu Gội Mềm Mượt Diệu Kỳ Vàng 6g (Gói),SSK SUNSILK Dầu Gội Mềm Mượt Diệu Kỳ Vàng,Chăm sóc tóc và da đầu,6.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
SSK SUNSILK Dầu Gội Ngăn Gãy Rụng Tóc Xanh 380ml (Chai),SSK SUNSILK Dầu Gội Ngăn Gãy Rụng Tóc Xanh,Chăm sóc tóc và da đầu,380.0,ml,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
SSK SUNSILK Dầu Xả Mềm Mượt Diệu Kỳ Vàng 6g (Gói),SSK SUNSILK Dầu Xả Mềm Mượt Diệu Kỳ Vàng,Chăm sóc tóc và da đầu,6.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
SSK SUNSILK Dầu Xả Óng Mượt Rạng Ngời Đen 6g (Gói),SSK SUNSILK Dầu Xả Óng Mượt Rạng Ngời Đen,Chăm sóc tóc và da đầu,6.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
KĐR P/S Trà Xanh 180g (Cái),KĐR P/S Trà Xanh,Chăm sóc răng miệng,180.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
P/S KĐR Thảo Dược 150g (Tuýp),P/S KĐR Thảo Dược,Chăm sóc răng miệng,150.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
PS KĐR bảo vệ 123 180g (Tuýp),PS KĐR bảo vệ 123,Chăm sóc răng miệng,180.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
CLOSEUP KĐR Bạc Hà Thơm Mát 180g (Tuýp),CLOSEUP KĐR Bạc Hà Thơm Mát,Chăm sóc răng miệng,180.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
CLOSEUP Bàn Chải Đánh Răng Precision Clean (Cái),CLOSEUP Bàn Chải Đánh Răng Precision Clean,Chăm sóc răng miệng,,,,,Item Code Prefix,No Weight,Mã hàng 3-4 số ở đầu tên
P/S BCĐR Lông Tơ Mềm Mại (Cái),P/S BCĐR Lông Tơ Mềm Mại,Chăm sóc răng miệng,,,,,Item Code Prefix,No Weight,Mã hàng 3-4 số ở đầu tên
P/S BCĐR Trẻ Em Superkid (Cái),P/S BCĐR Trẻ Em Superkid,Chăm sóc răng miệng,,,,,Item Code Prefix,No Weight,Mã hàng 3-4 số ở đầu tên
P/S Bàn Chải Đánh Răng Muối Tre (Cái),P/S Bàn Chải Đánh Răng Muối Tre,Chăm sóc răng miệng,,,,,Item Code Prefix,No Weight,Mã hàng 3-4 số ở đầu tên
KNORR Nước mắm ngon tròn vị 750ml + dầu ăn 400ml(Bộ),KNORR Nước mắm ngon tròn vị + dầu ăn 400ml,"Nước chấm, mắm",750.0,ml,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
KNORR tương ớt cay đậm 220g (Cái),KNORR tương ớt cay đậm,Gia vị,220.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
Marika Bánh Marika Bơ tươi 48P (Cái),Marika Bánh Marika Bơ tươi 48P,Bánh,,,,,Item Code Prefix,No Weight,Mã hàng 3-4 số ở đầu tên
BOOM Kẹo Boom Me Lak 25g (Cái),BOOM Kẹo Boom Me Lak,Kẹo,25.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
OST BánhOStar PMaiTrMuối 30g (Cái),OST BánhOStar PMaiTrMuối,"Snack, đồ ăn vặt",30.0,g,,,Item Code Prefix,Standard,Mã hàng 3-4 số ở đầu tên
Ajinomoto 454g (Gói),Ajinomoto,Gia vị,454.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Bia Heineken 330ml (Lon),Bia Heineken,Bia,330.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Bánh mì Staff sandwich 275g (Gói),Bánh mì Staff sandwich,Bánh,275.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Bánh mỳ chà bông Staff 60g (Gói),Bánh mỳ chà bông Staff,Bánh,60.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Bánh que Toppo nhân SCL 40g (Hộp),Bánh que Toppo nhân SCL,Bánh,40.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Bột pho mai Yary 150g (Lọ),Bột pho mai Yary,Gia vị,150.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
CLOSEUP KĐR Trắng Răng Muối Biển 180g(Hộp),CLOSEUP KĐR Trắng Răng Muối Biển,Chăm sóc răng miệng,180.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
COCA - COLA giảm đường bình 1.5l (Chai),COCA - COLA giảm đường bình,Nước ngọt,1.5,l,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Clear Men DG mát lạnh bạc hà 900g (Chai),Clear Men DG mát lạnh bạc hà,Chăm sóc tóc và da đầu,900.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
DOVE dầu gội dưỡng tóc bồng bềnh 640g (Chai),DOVE dầu gội dưỡng tóc bồng bềnh,Chăm sóc cá nhân khác,640.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Dove DX Phục hồi tóc hư tổn tuýp 170g (Tuýp),Dove DX Phục hồi tóc hư tổn tuýp,Chăm sóc tóc và da đầu,170.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Dầu hào Cholimex 820g (Chai),Dầu hào Cholimex,Gia vị,820.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Dầu hào Maggi 350g (Chai),Dầu hào Maggi,Gia vị,350.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
HASU NLS HASU lyly 3.6kg (Can),HASU NLS HASU lyly,Vệ sinh nhà cửa,3.6,kg,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
HASU Nước lau kính 650ml (Chai),HASU Nước lau kính,Vệ sinh nhà cửa,650.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
HAZELINE Sữa Tắm Fragrance HươngSữaGạo HoaBưởi 800g (Cái),HAZELINE Sữa Tắm Fragrance HươngSữaGạo HoaBưởi,Chăm sóc cơ thể,800.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
HS tẩy canxi Hasu 500ml (Chai),HS tẩy canxi Hasu,Vệ sinh nhà cửa,500.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Hasu Giấy ăn 1000g (Gói),Hasu Giấy ăn,Chăm sóc cá nhân khác,1000.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Hazeline gel rửa mặt tràm trà rau má 50g (Tuýp),Hazeline gel rửa mặt tràm trà rau má,Chăm sóc da mặt,50.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Knorr gia vị hoàn chỉnh cá kho riềng 28g (Cái),Knorr gia vị hoàn chỉnh cá kho riềng,Gia vị,28.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Kẹo Esprezzo Vanilla Coffee 150g (Gói),Kẹo Esprezzo Vanilla Coffee,Kẹo,150.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Kẹo dẻo Haribo Goldbears 80g (Gói),Kẹo dẻo Haribo Goldbears,Kẹo,80.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Kẹo dẻo Haribo Starmix 80g (Gói),Kẹo dẻo Haribo Starmix,Kẹo,80.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Kẹo dẻo Haribo Worms 100g (Cái),Kẹo dẻo Haribo Worms,Kẹo,100.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Kẹo gum lotte Fusen no mi hương cam 14g (Hộp),Kẹo gum lotte Fusen no mi hương cam,Kẹo,14.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Lá Kim cuốn cơm O\'Food 10g (Gói),Lá Kim cuốn cơm O\'Food,"Mứt, thạch, rong biển",10.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Muối chấm hảo hảo tôm chua cay 120g (Lọ),Muối chấm hảo hảo tôm chua cay,Gia vị,120.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Mì hảo hảo handy tôm chua cay 67g (Cốc),Mì hảo hảo handy tôm chua cay,Thực phẩm ăn liền,67.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Mật ong nghệ phấn hoa 280g (Lọ),Mật ong nghệ phấn hoa,Thức uống dinh dưỡng,280.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Mật ong sữa chúa Hoa Bốn Mùa 230ml (Lọ),Mật ong sữa chúa Hoa Bốn Mùa,Thức uống dinh dưỡng,230.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
NG ZESTY clean hương oải hương túi 3.6kg (Túi),NG ZESTY clean hương oải hương túi,Vệ sinh nhà cửa,3.6,kg,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nui cao cấp Meizan 200g (Túi),Nui cao cấp Meizan,Thực phẩm ăn liền,200.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước 7 up Rivive 500ml (Chai),Nước 7 up Rivive,Nước ngọt,500.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước Tẩy Trắng Quần Áo Javel Sutiki 500ml (Cái),Nước Tẩy Trắng Quần Áo Javel Sutiki,Giặt giũ và chăm sóc quần áo,500.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước chấm 3 miền cá cơm 800ml (Cái),Nước chấm 3 miền cá cơm,"Nước chấm, mắm",800.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước dừa cốt tắc VNM 330ml (Hộp),Nước dừa cốt tắc VNM,Nước ngọt,330.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước gạo buổi sáng Morning Rice 500ml (Chai),Nước gạo buổi sáng Morning Rice,Nước ngọt,500.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước hồng trà C2 vị đào chai 455ml (Chai),Nước hồng trà C2 vị đào chai,Nước ngọt,455.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước khoáng Faith chanh muối có ga 355ml (Chai),Nước khoáng Faith chanh muối có ga,Nước ngọt,355.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước lau sàn Sutiki hương thanh trúc chiết xuất bươi tươi 3.6kg (Cái),Nước lau sàn Sutiki hương thanh trúc chiết xuất bươi tươi,Vệ sinh nhà cửa,3.6,kg,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước mắm nam ngư nhãn vàng 650ml (Chai),Nước mắm nam ngư nhãn vàng,"Nước chấm, mắm",650.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước trà xanh C2 chanh tuyết Bạc Hà 455ml (Chai),Nước trà xanh C2 chanh tuyết Bạc Hà,Nước ngọt,455.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước trà xanh C2 hương chanh 355ml (Chai),Nước trà xanh C2 hương chanh,Nước ngọt,355.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước trà xanh C2 hương chanh 455ml (Chai),Nước trà xanh C2 hương chanh,Nước ngọt,455.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước trà xanh C2 hương táo 355ml (Chai),Nước trà xanh C2 hương táo,Nước ngọt,355.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước tương Chinsu nấm Shiitake MB 330ml (Chai),Nước tương Chinsu nấm Shiitake MB,Gia vị,330.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Nước tương Maggi đậm đặc 300ml (Chai),Nước tương Maggi đậm đặc,"Nước chấm, mắm",300.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
OMO BG Đỏ 1.15kg (Cái),OMO BG Đỏ,Giặt giũ và chăm sóc quần áo,1.15,kg,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
OMO NG Cho Quần Áo Bé Yêu 3.6kg (Túi),OMO NG Cho Quần Áo Bé Yêu,Giặt giũ và chăm sóc quần áo,3.6,kg,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
OMO NG Cửa Trên sạch sâu vượt trội 3.1kg (Cái),OMO NG Cửa Trên sạch sâu vượt trội,Giặt giũ và chăm sóc quần áo,3.1,kg,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Omo BG đỏ hương thơm mát giặt tay 5.3kg (Gói),Omo BG đỏ hương thơm mát giặt tay,Giặt giũ và chăm sóc quần áo,5.3,kg,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Omo NG giữ màu cửa trên túi 3.6kg (Túi),Omo NG giữ màu cửa trên túi,Giặt giũ và chăm sóc quần áo,3.6,kg,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Omo NG matic cửa trên sạch thơm vượt trội túi 3.7kg (Cái),Omo NG matic cửa trên sạch thơm vượt trội túi,Giặt giũ và chăm sóc quần áo,3.7,kg,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
P/S KĐR Baking Soda & Hương Thảo 180g (Tuýp),P/S KĐR Baking Soda & Hương Thảo,Chăm sóc răng miệng,180.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
P/S KĐR Bé Ngoan Hương Dâu 35g (Cái),P/S KĐR Bé Ngoan Hương Dâu,Chăm sóc răng miệng,35.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
P/S KĐR Ngừa Sâu Răng Vượt Trội 100g (Tuýp),P/S KĐR Ngừa Sâu Răng Vượt Trội,Chăm sóc răng miệng,100.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
P/S KĐR Ngừa Sâu Răng Vượt Trội 180g (Ống),P/S KĐR Ngừa Sâu Răng Vượt Trội,Chăm sóc răng miệng,180.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Phở Vifon thịt bò 120g (Tô),Phở Vifon thịt bò,Thực phẩm ăn liền,120.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Rong biển giòn trộn hải sản O\'Food 40g (Gói),Rong biển giòn trộn hải sản O\'Food,"Mứt, thạch, rong biển",40.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
"Rong biển giòn trộn óc chó, hạnh nhân O\'Food 40g (Gói)","Rong biển giòn trộn óc chó, hạnh nhân O\'Food","Mứt, thạch, rong biển",40.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
SUNLIGHT NRC Chanh túi 1.4kg (Cái),SUNLIGHT NRC Chanh túi,Vệ sinh nhà cửa,1.4,kg,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
SUNLIGHT NRC Thiên Nhiên Lô Hội 750g (Chai),SUNLIGHT NRC Thiên Nhiên Lô Hội,Vệ sinh nhà cửa,750.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
SUNLIGHT NRC Thiên Nhiên lô hội túi 3.3kg (Túi),SUNLIGHT NRC Thiên Nhiên lô hội túi,Vệ sinh nhà cửa,3.3,kg,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
SUNLIGHT NRC Thiên nhiên Gừng chai 750g (Chai),SUNLIGHT NRC Thiên nhiên Gừng chai,Vệ sinh nhà cửa,750.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
SUNLIGHT Nước Lau Kính Siêu Nhanh 520ml (Chai),SUNLIGHT Nước Lau Kính Siêu Nhanh,Vệ sinh nhà cửa,520.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
SUTIKI NLS hương thanh trúc chiết xuất bưởi tươi 950g (Chai),SUTIKI NLS hương thanh trúc chiết xuất bưởi tươi,Vệ sinh nhà cửa,950.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
SUTIKI Nước tẩy bồn cầu và nhà tắm XANH chai 750ml (Chai),SUTIKI Nước tẩy bồn cầu và nhà tắm XANH chai,Vệ sinh nhà cửa,750.0,ml,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
Sunlight NRC chanh 750g (Chai),Sunlight NRC chanh,Vệ sinh nhà cửa,750.0,g,,,Pack Hierarchy,Standard,Pattern size/count: XXXg/YY (VD: 210g/12)
